nncp compress: input bytes=51797434 model dim=256 depth=4 heads=8
num_params_M: 3.483136
nncp compress: bytes=51797434 ctx=1024 slide=768 train_every=256 train_batch=8 train_seq=256
/home/andrew/Developer/a-compressed-world/.venv/lib/python3.12/site-packages/torch/autograd/graph.py:869: UserWarning: Memory Efficient attention defaults to a non-deterministic algorithm. To explicitly enable determinism call torch.use_deterministic_algorithms(True, warn_only=False). (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/attention_backward.cu:900.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
step 142336 bytes 142336 bits 808949 bpb 5.6834 window_bpb 5.2871 elapsed 192.5s
step 143360 bytes 143360 bits 814306 bpb 5.6801 window_bpb 5.2314 elapsed 193.9s
step 144384 bytes 144384 bits 819937 bpb 5.6789 window_bpb 5.4990 elapsed 195.3s
step 145408 bytes 145408 bits 825566 bpb 5.6776 window_bpb 5.4971 elapsed 196.6s
step 146432 bytes 146432 bits 831245 bpb 5.6767 window_bpb 5.5459 elapsed 198.0s
step 147456 bytes 147456 bits 836860 bpb 5.6753 window_bpb 5.4834 elapsed 199.4s
step 148480 bytes 148480 bits 842550 bpb 5.6745 window_bpb 5.5566 elapsed 200.7s
step 149504 bytes 149504 bits 848228 bpb 5.6736 window_bpb 5.5449 elapsed 202.1s
step 150528 bytes 150528 bits 854245 bpb 5.6750 window_bpb 5.8760 elapsed 203.5s
step 151552 bytes 151552 bits 859857 bpb 5.6737 window_bpb 5.4805 elapsed 204.9s
step 152576 bytes 152576 bits 865451 bpb 5.6723 window_bpb 5.4629 elapsed 206.2s
step 153600 bytes 153600 bits 871084 bpb 5.6711 window_bpb 5.5010 elapsed 207.6s
step 154624 bytes 154624 bits 876610 bpb 5.6693 window_bpb 5.3965 elapsed 209.0s
step 155648 bytes 155648 bits 882179 bpb 5.6678 window_bpb 5.4385 elapsed 210.3s
step 156672 bytes 156672 bits 887685 bpb 5.6659 window_bpb 5.3770 elapsed 211.7s
step 157696 bytes 157696 bits 893396 bpb 5.6653 window_bpb 5.5771 elapsed 213.1s
step 158720 bytes 158720 bits 899180 bpb 5.6652 window_bpb 5.6484 elapsed 214.5s
step 159744 bytes 159744 bits 904902 bpb 5.6647 window_bpb 5.5879 elapsed 215.8s
step 160768 bytes 160768 bits 910579 bpb 5.6639 window_bpb 5.5439 elapsed 217.2s
step 161792 bytes 161792 bits 916107 bpb 5.6623 window_bpb 5.3984 elapsed 218.6s
step 162816 bytes 162816 bits 921735 bpb 5.6612 window_bpb 5.4961 elapsed 220.0s
step 163840 bytes 163840 bits 927150 bpb 5.6589 window_bpb 5.2881 elapsed 221.3s
step 164864 bytes 164864 bits 932901 bpb 5.6586 window_bpb 5.6162 elapsed 222.7s
step 165888 bytes 165888 bits 938532 bpb 5.6576 window_bpb 5.4990 elapsed 224.1s
step 166912 bytes 166912 bits 944084 bpb 5.6562 window_bpb 5.4219 elapsed 225.4s
step 167936 bytes 167936 bits 949805 bpb 5.6558 window_bpb 5.5869 elapsed 226.8s
step 168960 bytes 168960 bits 955598 bpb 5.6558 window_bpb 5.6572 elapsed 228.2s
step 169984 bytes 169984 bits 961314 bpb 5.6553 window_bpb 5.5820 elapsed 229.6s
step 171008 bytes 171008 bits 967160 bpb 5.6556 window_bpb 5.7090 elapsed 230.9s
step 172032 bytes 172032 bits 974236 bpb 5.6631 window_bpb 6.9102 elapsed 232.3s
step 173056 bytes 173056 bits 981670 bpb 5.6726 window_bpb 7.2598 elapsed 233.7s
step 174080 bytes 174080 bits 989286 bpb 5.6829 window_bpb 7.4375 elapsed 235.0s
step 175104 bytes 175104 bits 997052 bpb 5.6941 window_bpb 7.5840 elapsed 236.4s
step 176128 bytes 176128 bits 1004349 bpb 5.7024 window_bpb 7.1260 elapsed 237.8s
step 177152 bytes 177152 bits 1010500 bpb 5.7041 window_bpb 6.0068 elapsed 239.2s
step 178176 bytes 178176 bits 1016591 bpb 5.7055 window_bpb 5.9482 elapsed 240.5s
step 179200 bytes 179200 bits 1022369 bpb 5.7052 window_bpb 5.6426 elapsed 241.9s
step 180224 bytes 180224 bits 1028394 bpb 5.7062 window_bpb 5.8838 elapsed 243.3s
step 181248 bytes 181248 bits 1034359 bpb 5.7069 window_bpb 5.8252 elapsed 244.7s
step 182272 bytes 182272 bits 1040063 bpb 5.7061 window_bpb 5.5703 elapsed 246.0s
step 183296 bytes 183296 bits 1045723 bpb 5.7051 window_bpb 5.5273 elapsed 247.4s
step 184320 bytes 184320 bits 1051503 bpb 5.7048 window_bpb 5.6445 elapsed 248.8s
step 185344 bytes 185344 bits 1057265 bpb 5.7043 window_bpb 5.6270 elapsed 250.1s
step 186368 bytes 186368 bits 1062618 bpb 5.7017 window_bpb 5.2275 elapsed 251.5s
step 187392 bytes 187392 bits 1067941 bpb 5.6990 window_bpb 5.1982 elapsed 252.9s
step 188416 bytes 188416 bits 1073296 bpb 5.6964 window_bpb 5.2295 elapsed 254.3s
step 189440 bytes 189440 bits 1078620 bpb 5.6937 window_bpb 5.1992 elapsed 255.6s
step 190464 bytes 190464 bits 1084032 bpb 5.6915 window_bpb 5.2852 elapsed 257.0s
step 191488 bytes 191488 bits 1090569 bpb 5.6952 window_bpb 6.3838 elapsed 258.4s
step 192512 bytes 192512 bits 1096859 bpb 5.6976 window_bpb 6.1426 elapsed 259.8s
step 193536 bytes 193536 bits 1103069 bpb 5.6996 window_bpb 6.0645 elapsed 261.1s
step 194560 bytes 194560 bits 1109230 bpb 5.7012 window_bpb 6.0166 elapsed 262.5s
step 195584 bytes 195584 bits 1115498 bpb 5.7034 window_bpb 6.1211 elapsed 263.9s
step 196608 bytes 196608 bits 1121903 bpb 5.7063 window_bpb 6.2549 elapsed 265.2s
